full_webcnp_(January_2020),Definition,Test,Field Type,Notes
PVTB.PVTB_QID000195_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000195_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000196_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000196_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000196_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000196_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000197_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000197_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000197_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000197_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000198_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000198_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000198_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000198_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000199_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000199_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000199_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000199_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000200_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000200_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000200_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000200_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000201_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000201_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000201_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000201_QID,Trial Question ID,PVTB,integer,0-200 | Null
SPCPTNL.SCPT_QID000001_0_RESP,Trial Reponse,SPCPTNL,integer/null,0 | 1 | Null
SPCPTNL.SCPT_QID000001_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000001_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000001_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000001_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000001_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000001_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000001_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000001_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000001_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000001_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000001_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000001_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000001_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000001_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000001_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000001_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000001_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000002_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000002_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000002_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000002_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000002_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000002_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000002_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000002_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000002_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000002_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000002_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000002_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000002_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000002_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000002_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000002_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000003_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000003_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000003_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000003_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000003_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000003_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000003_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000003_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000003_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000003_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000003_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000003_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000003_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000003_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000003_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000003_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000004_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000004_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000004_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000004_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000004_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000004_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000004_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000004_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000004_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000004_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000004_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000004_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000004_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000004_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000004_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000004_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000005_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000005_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000005_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000005_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000005_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000005_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000005_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000005_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000005_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000005_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000005_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000005_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000005_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000005_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000005_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000005_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000006_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000006_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000006_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000006_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000006_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000006_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000006_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000006_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000006_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000006_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000006_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000006_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000006_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000006_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000006_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000006_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000007_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000007_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000007_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000007_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000007_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000007_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000007_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000007_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000007_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000007_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000007_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000007_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000007_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000007_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000007_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000007_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000008_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000008_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000008_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000008_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000008_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000008_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000008_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000008_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000008_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000008_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000008_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000008_3_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_4_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000008_4_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000008_4_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000008_4_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000008_4_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_0_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_0_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000009_0_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000009_0_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000009_0_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_1_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_1_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000009_1_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000009_1_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000009_1_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_2_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_2_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000009_2_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000009_2_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
SPCPTNL.SCPT_QID000009_2_CORR,"Trial Score (Correct = 1, Incorrect = 0)",SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_3_RESP,Trial Reponse,SPCPTNL,integer,0 | 1 | Null
SPCPTNL.SCPT_QID000009_3_TTR,Trial Reponse Time (ms),SPCPTNL,integer/null,Number-variant | Null
SPCPTNL.SCPT_QID000009_3_TRIAL,Trial Position/Order of Question ID,SPCPTNL,integer,0-180 | Null
SPCPTNL.SCPT_QID000009_3_QID,Trial Question ID,SPCPTNL,integer,0-36 | Null
