folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Lifestyle and Behavioral Health,soclhx_0520,"Exercise, time frame",How often do you exercise? Per day/week/month,choices,"",weekmonthyear,"","","",""
Lifestyle and Behavioral Health,soclhx_0600,"Exercise, time of day",What time of day do you usually exercise?,choices,"",earlymorning,"","","",""
Lifestyle and Behavioral Health,soclhx_0700,"Alcohol consumption, number of times",How often do you drink alcohol? Times,integer,event count,"","",Total = soclhx_0710+soclhx_0720+soclhx_0730,"",""
Lifestyle and Behavioral Health,soclhx_0701,"Alcohol consumption, rarely or never",How often do you drink alcohol? I rarely or never drink alcohol,choices,"",noyes,"","","",""
Lifestyle and Behavioral Health,soclhx_0710,"Alcohol consumption, time frame",How often do you drink alcohol? Per day/week/month,choices,event count,weekmonth,"","","",""
Lifestyle and Behavioral Health,soclhx_0730,"Alcohol consumption, number of servings per day","When drinking alcohol, how many servings do you typically have in one day? (one serving equals 12oz. cans of beer, 5oz. of wine, or 1.5oz. of liquor) ",integer,event count,"","","","",""
Lifestyle and Behavioral Health,soclhx_0900,"Caffeine consumption, number of servings per day","How many servings of caffeine do you typically have in one day?  (one serving equals 8oz. of coffee, 8oz. of tea, 12oz of soda, 12oz energy drink) ",integer,event count,"",sleep_hygiene,"","",""
Lifestyle and Behavioral Health,soclhx_0901,"Caffeine consumption, rarely or never","How many servings of caffeine do you typically have in one day?  (one serving equals 8oz. of coffee, 8oz. of tea, 12oz of soda, 12oz energy drink) I rarely or never drink caffeine",choices,"",noyes,sleep_hygiene,"","",""
Lifestyle and Behavioral Health,soclhx_1000,"Caffeine consumption, time of last drink",What time of day do you consume your last caffeinated drink?  ,time,time,"",sleep_hygiene,"","",""
Lifestyle and Behavioral Health,soclhx_1200,"Cigarette smoking, age started",How old were you when you started smoking?,integer,years,"","","","",""
Lifestyle and Behavioral Health,soclhx_1300,"Cigarette smoking, number of cigarettes",How many cigarettes did you typically smoke? Number,integer,event count,"","","","",""
Lifestyle and Behavioral Health,soclhx_1310,"Cigarette smoking, time frame",How many cigarettes did you typically smoke? Per day/week,choices,"",dayweek,"","","",""
Lifestyle and Behavioral Health,soclhx_1400,"Cigarette smoking, age stopped",How old were you when you stopped smoking?,integer,years,"","","","",""
Lifestyle and Behavioral Health,soclhx_1500,"Street or recreational drugs consumption, ever",Have you ever used street/recreational drugs regularly? ,choices,event count,streetdrugs,"","","",""
Lifestyle and Behavioral Health,soclhx_1700,"Street or recreational drugs consumption, age started",How old were you when you started using drugs regularly?,integer,years,"","","","",""
Lifestyle and Behavioral Health,soclhx_1800,"Street or recreational drugs consumption, age stopped",How old were you when you stopped using drugs regularly?,integer,years,"","","","",""
Medical History/Family History,famhx_0100,Family History of Insomnia,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Insomnia",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0200,Family History of Sleep Apnea,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Sleep Apnea",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0300,Family History of Narcolepsy,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Narcolepsy",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0400,Family History of Restless Leg Syndrome,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Restless Leg Syndrome",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0500,Family History of Other Sleep Disorder,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Other sleep disorder",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0600,Family History of Sleepwalking,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Sleepwalking",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0700,Family History of Fibromyalgia or Chronic Fatigue,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Fibromyalgia or Chronic Fatigue",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0800,Family History of Depression,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Depression",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_0900,Family History of Anxiety,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Anxiety",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_1000,Family History of Other Psychiatric Illness,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Other psychiatric illness",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_1100,Family History of Psychiatric Treatment,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Psychiatric treatment",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_1200,Family History of Death During Sleep,"Have any blood relatives in your immediate family (which includes brother/sister, father/mother, son/daughter) had any of the following? Death during sleep",choices,"",noyesdontknow,"","","",""
Medical History/Family History,famhx_1300,Number of full siblings from the same birth parents,How many full siblings do you have (from the same birth parents)?,choices,"",number,"","","",""
Medical History/Reproductive Health,mdhx_1200,"Pregnancy, current",Are you currently pregnant?,choices,"",noyesdontknow,"","","",""
Medical History/Reproductive Health,mdhx_1300,Menopausal status,What is your menopausal status?  ,choices,"",mpausestat,"","","",""
Medical History/Reproductive Health,mdhx_1400,"Oophorectomy, bilateral: Self-reported",Have you had both of your ovaries removed? ,choices,"",noyes,"","","",""
Medical History,mdhx_5700,Hypertension: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_5710,Congestive Heart Failure: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_5720,"Cardiovascular Problem, other: Self-reported","",choices,"",noyes,"","","",""
Medical History,mdhx_5800,Asthma: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_5810,Chronic Obstructive Pulmonary Disease: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_5820,"Pulmonary Problem, other: Self-reported","",choices,"",noyes,"","","",""
Medical History,mdhx_5900,Allergies or Sinus Problems: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_5910,Tonsillectomy or Adenoidectomy: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_5920,"Nasal, Jaw, or Apnea Surgery: Self-reported","",choices,"",noyes,"","","",""
Medical History,mdhx_5950,"Ear, Nose, and Throat Problem or Surgery, other: Self-reported","",choices,"",noyes,"","","",""
Medical History,mdhx_6000,Dental Problems: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6030,"Dentures, removed while sleeping: Self-reported","",choices,"",noyes,"","","",""
Medical History,mdhx_6100,Gastrointestinal Problem or Surgery: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6200,Neurologic Problem: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6300,Hypercholesterolemia: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6310,Type 2 Diabetes: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6320,Endocrine or Metabolic Problem: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6400,Urologic or Kidney Problem: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6420,Dialysis: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6500,Pain or Fatigue: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6600,Psychiatric or Mental Health Problem: Self-reported,"",choices,"",noyes,"","","",""
Medical History,mdhx_6700,"Medical Problem or Surgery, other: Self-reported","",choices,"",noyes,"","","",""
Medical History,mdhx_6900,Genetic Testing: Self-reported,Have you ever had genetic testing performed?,choices,"",noyes,"","","",""
Medical History,mdhx_6910,"Genetic Testing, source: Self-reported",Was test done through your doctor or through a company like 23andMe,choices,"",gentest,"","","",""
Sleep Questionnaires/Chronotype/Horne-Ostberg Morningness Eveningness Questionnaire (MEQ),cir_0200,Horne-Ostberg Morningness-Eveningness Questionnaire: Ideal scheduled wake time,"Considering only your own feeling best ""rhythm"" at what time of day would you get up if you were entirely free to plan your day?",choices,"",cirtime1,"","","",""
Sleep Questionnaires/Chronotype/Horne-Ostberg Morningness Eveningness Questionnaire (MEQ),cir_0300,Horne-Ostberg Morningness-Eveningness Questionnaire: Tiredness during first half-hour after waking,"During the first half hour after having awakened in the morning, how tired do you feel? (Check one)",choices,"",tired,homeq;homeq_08tired,"","",""
Sleep Questionnaires/Chronotype/Horne-Ostberg Morningness Eveningness Questionnaire (MEQ),cir_0400,Horne-Ostberg Morningness-Eveningness Questionnaire: Time of evening you need sleep,"At what time in the evening do you feel tired and, as a result, in need of sleep? (Check one) ",choices,"",cirtime2,homeq;homeq_09needslp,"","",""
Sleep Questionnaires/Chronotype/Horne-Ostberg Morningness Eveningness Questionnaire (MEQ),cir_0500,"Horne-Ostberg Morningness-Eveningness Questionnaire: Time of day reaching ""feeling best"" peak","At what time of the day do you think that you reach your ""feeling best"" peak? (Check one) ",choices,"",cirtime3,homeq;homeq_19feelbest,"","",""
Sleep Questionnaires/Chronotype/Horne-Ostberg Morningness Eveningness Questionnaire (MEQ),cir_0600,Horne-Ostberg Morningness-Eveningness Questionnaire: Morning or evening type,One hears about 'morning' and 'evening' types of people.  Which ONE of these types do you consider yourself to be?,choices,"",earlymorning4,homeq;homeq_04type,"","",""
Sleep Questionnaires/Chronotype,cir_0700,rMEQ Total Score,"The summary score of morningness-eveningness questionnaire has a range from 4 to 25. There are give categories: definitely evening tendency (4-7), moderately evening type (8-11), neither type (12-17), moderately morning type (18-21), definitely morning type (22-25).",integer,"","",chronotype,rMEQ Total = cir_0100+cir_0200+cir_0300+cir_0400+cir_0500+cir_0600,"",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0100,Epworth Sleepiness Scale: Chance of dozing while sitting and reading,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_1sitread,"","",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0200,Epworth Sleepiness Scale: Chance of dozing while watching TV,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_2watchingtv,"","",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0300,"Epworth Sleepiness Scale: Chance of dozing while sitting, inactive in a public place",Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_3sitinactive,"","",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0400,Epworth Sleepiness Scale: Chance of dozing as a passenger in a car for an hour without a break,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_4passenger,"","",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0500,Epworth Sleepiness Scale: Chance of dozing while lying down in the afternoon when circumstances permit,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_5lyingdown,"","",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0600,Epworth Sleepiness Scale: Chance of dozing while sitting and talking to someone,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_6sittalk,"","",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0700,Epworth Sleepiness Scale: Chance of dozing while sitting quietly after lunch without alcohol,Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_7afterlunch,"","",""
Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS),ess_0800,"Epworth Sleepiness Scale: Chance of dozing while in a car, while stopped for a few minutes in traffic",Item from the Epworth Sleepiness Scale [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888)<br><br> [Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth),choices,"",chance,epworth;ess_8stoppedcar,"","",""
Sleep Questionnaires/Hypersomnia,ess_0900,Epworth Sleepiness Scale: Total score,"Calculated - Total score based on an 8-item questionnaires ranking likelihood of dozing off [Johns MW 1991 (PubMed ID: 1798888)](https://www.ncbi.nlm.nih.gov/pubmed/1798888). Scale 0-3 for individual items; 0 to 24 for overall score. There are three categories:  <10=normal, ?10=sleepy, ?18=very sleepy. <br><br>[Search for all ESS variables within this dataset](https://sleepdata.org/datasets/stages/variables?search=epworth)",integer,"","",subjective_sleepiness;epworth;ess_total,ESS Total = ess_0100+ess_0200+ess_0300+ess_0400+ess_0500+ess_0600+ess_0700+ess_0800,"",""
Sleep Questionnaires/Hypersomnia,index_3,MAP Index 3: Excessive Daytime Sleepiness (EDS) Score,"",numeric,"","",subjective_sleepiness,"mean(map_0400, map_0700, map_0900)","",""
Sleep Questionnaires/Hypersomnia,index_4,MAP Index 4: Narcolepsy Like Symptoms Score,"",numeric,"","",narcolepsy,"mean(map_1000, map_1100)","",""
Sleep Questionnaires/Hypersomnia,map_0400,Fall asleep at work,During the last month on how many nights or days per week have you had or been told you had the following (please check only one box per question)? Falling asleep when at work,choices,"",neveronlyfreq5dk,subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,map_0700,Excessive sleepiness,During the last month on how many nights or days per week have you had or been told you had the following (please check only one box per question)? Excessive sleepiness,choices,"",neveronlyfreq5dk,subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,map_0900,Fall asleep driving,During the last month on how many nights or days per week have you had or been told you had the following (please check only one box per question)? Falling asleep while driving,choices,"",neveronlyfreq5dk,subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,narc_0050,Currently being treated for narcolepsy,Are you currently being treated for Narcolepsy?  ,choices,"",noyesdontknow,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0100,"Frequency of muscle weakness when tell or hear joke, present",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0110,"Frequency of muscle weakness when tell or hear joke, before treatment",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0200,"Frequency of muscle weakness when laugh, current",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0210,"Frequency of muscle weakness when laugh, before treatment",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0300,"Frequency of muscle weakness when angry, current",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0310,"Frequency of muscle weakness when angry, before treatment",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0400,"Frequency of muscle weakness when stressed, current",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0410,"Frequency of muscle weakness when stressed, before treatment",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0500,"Frequency of muscle weakness when making verbal response in playful context, current",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0510,"Frequency of muscle weakness when making verbal response in playful context, before treatment",How often do you currently experience episodes of muscle weakness in your legs or buckling of your knees in the following situations,choices,"",freq,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0600,Sagging or dropping of jaw,Please indicate which muscles are affected when you experience muscle weakness.  Then specify the two situations which are most frequently associated with each type of muscle weakness.,choices,"",noyes,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0700,Abrupt dropping of head and/or shoulders,Please indicate which muscles are affected when you experience muscle weakness.  Then specify the two situations which are most frequently associated with each type of muscle weakness.,choices,"",noyes,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0800,Weakness in arms,Please indicate which muscles are affected when you experience muscle weakness.  Then specify the two situations which are most frequently associated with each type of muscle weakness.,choices,"",noyes,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_0900,Slurring of speech,Please indicate which muscles are affected when you experience muscle weakness.  Then specify the two situations which are most frequently associated with each type of muscle weakness.,choices,"",noyes,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1000,Fallen to ground unable to move,Please indicate which muscles are affected when you experience muscle weakness.  Then specify the two situations which are most frequently associated with each type of muscle weakness.,choices,"",noyes,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1100,Duration of the muscle weakness,How long does muscle weakness typically last?  ,choices,"",weaktime,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1200,Can you hear during a typical episode,During a typical episode of muscle weakness,choices,"",neveralways4dk,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1300,Can you see during a typical episode,During a typical episode of muscle weakness,choices,"",neveralways4dk,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1400,Do you fall asleep during a typical episode,During a typical episode of muscle weakness,choices,"",neveralways4dk,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1500,Do you have time to sit or break your fall during a typical episode,During a typical episode of muscle weakness,choices,"",neveralways4dk,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1600,"Muscle weakness, number of episode",How frequently do you currently experience one of these episodes of muscle weakness? Times,integer,episodes,"",narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1610,"Muscle weakness, time frame",How frequently do you currently experience one of these episodes of muscle weakness? Per day/week/month/year,choices,"",dayyear,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1650,"Muscle weakness, last experience",When did you last experience an episode of muscle weakness?,choices,"",recalltime,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1700,"Muscle weakness, age of the first episode",How old were you the first time you experience an episode of muscle weakness?  ,integer,year,"",narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1701,"Muscle weakness, age of the first episode, don't know",How old were you the first time you experience an episode of muscle weakness?  Don't know,choices,"",noyesdontknow,narcolepsy,"If 1, then narc_1700=-55","",""
Sleep Questionnaires/Hypersomnia,narc_1710,"Muscle weakness, month of the first episode",In what month (approximately) did your first episode of muscle weakness occur?  ,choices,"",month,narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_1900,Sleep Paralysis Frequency Score,Summary score range from 0 to 4,integer,"","",narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_2000,Hypnagogic Hallucinations (HH) Frequency Score,Summary score range from 0 to 4,integer,"","",narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_2100,Cataplexy Frequency Score - Current,Summary score range from 0 to 16,integer,"","",narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_2110,Cataplexy Frequency Score - Before Treatment,Summary score range from 0 to 16,integer,"","",narcolepsy,"","",""
Sleep Questionnaires/Hypersomnia,narc_2200,Cataplexy Severity Score - Current,Summary score range from 0 to 30,integer,"","",narcolepsy,"[Cataplexy Freq Score (narc_2100)] + [narc_0600+narc_0700+narc_0800+narc_0900+narc_1000 where yes = 2 pts] + [narc_1600 where year=0, month=1, week=2, day=4]","",""
Sleep Questionnaires/Hypersomnia,par_0100,"Frequency of leg twitch/kick, number of times",How often do your legs twitch or kick when you sleep? Times,integer,event count,"",sleep_paralysis,"","",""
Sleep Questionnaires/Hypersomnia,par_0101,"Frequency of leg twitch/kick, never or don't know",How often do your legs twitch or kick when you sleep? Never or don't know,choices,"",noyesdontknow,sleep_paralysis,"","",""
Sleep Questionnaires/Hypersomnia,par_0110,"Frequency of leg twitch/kick, time frame",How often do your legs twitch or kick when you sleep? Per night/week/month/year,choices,"",weekmonthyear,sleep_paralysis,"","",""
Sleep Questionnaires/Hypersomnia,par_0200,"Frequency of sleepwalk, number of times",How often do you walk in your sleep? Times,integer,event count,"",sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0201,"Frequency of sleepwalk, never or don't know",How often do you walk in your sleep? Never or don't know,choices,"",noyesdontknow,sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0210,"Frequency of sleepwalk, time frame",How often do you walk in your sleep? Per night/week/month/year,choices,"",weekmonthyear,sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0230,"Sleepwalk, age of the first episode",How old were you when this first happened?,integer,years,"",sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0300,"Frequency of eat/drink in sleep, number of times",How often do you awaken during the night and are unable to return to sleep without having something to eat or drink (other than water for thirst or a dry mouth)? Times,integer,event count,"",sleep_eat,"","",""
Sleep Questionnaires/Hypersomnia,par_0301,"Frequency of eat/drink in sleep, never or don't know",How often do you awaken during the night and are unable to return to sleep without having something to eat or drink (other than water for thirst or a dry mouth)? Never or don't know,choices,"",noyesdontknow,sleep_eat,"","",""
Sleep Questionnaires/Hypersomnia,par_0310,"Frequency of eat/drink in sleep, time frame",How often do you awaken during the night and are unable to return to sleep without having something to eat or drink (other than water for thirst or a dry mouth)? Per night/week/month/year,choices,"",weekmonthyear,sleep_eat,"","",""
Sleep Questionnaires/Hypersomnia,par_0400,Frequency of teeth grinding,Do you grind your teeth while you sleep?,choices,"",neveralways,bruxism,"","",""
Sleep Questionnaires/Hypersomnia,par_0500,"Frequency of acting out dreams, times","During sleep, how often do you (or have been told that you) shout, scream, punch or flail your arms in the air? Times",integer,event count,"",bruxism,"","",""
Sleep Questionnaires/Hypersomnia,par_0501,"Frequency of acting out dreams, never or don't know","During sleep, how often do you (or have been told that you) shout, scream, punch or flail your arms in the air? Never or don't know",choices,"",noyesdontknow,bruxism,"","",""
Sleep Questionnaires/Hypersomnia,par_0510,"Frequency of acting out dreams, time frame","During sleep, how often do you (or have been told that you) shout, scream, punch or flail your arms in the air? Per night/week/month/year",choices,"",weekmonthyear,sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0530,"Acting out dreams, age of the first episode","During sleep, how often do you (or have been told that you) shout, scream, punch or flail your arms in the air? How old were you when this first happened?",integer,years,"",sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0531,"Acting out dreams, age of the first episode, don't know","During sleep, how often do you (or have been told that you) shout, scream, punch or flail your arms in the air? How old were you when this first happened? Don't know",choices,"",noyesdontknow,sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0600,"Frequency of violent behavior during sleep, times",How often do you have violent or injurious behavior during sleep? Times,integer,event count,"",sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0601,"Frequency of violent behavior during sleep, never or don't know",How often do you have violent or injurious behavior during sleep? Never or don't know,choices,"",noyesdontknow,sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0610,"Frequency of violent behavior during sleep, time frame",How often do you have violent or injurious behavior during sleep? Time frame,choices,"",weekmonthyear,sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0630,"Violent behavior during sleep, age of the first episode",How old were you when this first happened?,integer,years,"",sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0631,"Violent behavior during sleep, age of the first episode, don't know",How old were you when this first happened? Don't know,choices,"",noyesdontknow,sleepwalk,"","",""
Sleep Questionnaires/Hypersomnia,par_0700,"Frequency of nightmares, times",How often do you have nightmares (frightening dreams)? Times,integer,event count,"",nightmare,"","",""
Sleep Questionnaires/Hypersomnia,par_0701,"Frequency of nightmares, never or don't know",How often do you have nightmares (frightening dreams)? Never or don't know,choices,"",noyesdontknow,nightmare,"","",""
Sleep Questionnaires/Hypersomnia,par_0710,"Frequency of nightmares, time frame",How often do you have nightmares (frightening dreams)? Per night/week/month/year,choices,"",weekmonthyear,nightmare,"","",""
Sleep Questionnaires/Hypersomnia,par_0800,Seizures during sleep,"Do you have seizures, convulsions or 'fits' during sleep? ",choices,"",noyesdontknow,sleep_paralysis,"","",""
Sleep Questionnaires/Hypersomnia,par_0900,"Remember dreams, times",How often do you remember your dreams? Times,integer,event count,"","","","",""
Sleep Questionnaires/Hypersomnia,par_0901,"Remember dreams, never or don't know",How often do you remember your dreams? Never or don't know,choices,"",noyesdontknow,"","","",""
Sleep Questionnaires/Hypersomnia,par_0910,"Remember dreams, time frame",How often do you remember your dreams? Per night/week/month/year,choices,"",weekmonthyear,"","","",""
Sleep Questionnaires/Hypersomnia,slpy_0100,"Difficulty staying awake during the day, number of times",How often do you have difficulty staying awake during the day? Times,integer,event count,"",subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,slpy_0101,"Difficulty staying awake during the day, never",How often do you have difficulty staying awake during the day? Never,choices,"",noyes,subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,slpy_0110,"Difficulty staying awake during the day, time frame",How often do you have difficulty staying awake during the day? Per day/week/month/year,choices,"",dayyear,subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,slpy_0200,"Sleep attacks, number of times",How often do you experience sudden sleep attacks that are so intense that you must stop what you are doing or take a nap?  (Enter 0 if you do not experience sudden sleep attacks),integer,event count,"",subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,slpy_0201,"Sleep attacks, never",How often do you experience sudden sleep attacks that are so intense that you must stop what you are doing or take a nap?  Never,choices,"",noyes,subjective_sleepiness,"","",""
Sleep Questionnaires/Hypersomnia,slpy_0210,"Sleep attacks, time frame",How often do you experience sudden sleep attacks that are so intense that you must stop what you are doing or take a nap?  Per day/week/month/year,choices,"",dayyear,subjective_sleepiness,"","",""
Sleep Questionnaires/Parasomnia,map_1000,"Feel paralyzed (Cataplexy), days per week",During the last month on how many nights or days per week have you had or been told you had the following (please check only one box per question)? Feeling paralyzed or unable to move when falling asleep or when awakening,choices,"",neveronlyfreq5dk,narcolepsy,"","",""
